iter	Logloss
0	0.6777302412
1	0.6649123436
2	0.6513066215
3	0.6370775844
4	0.6231599379
5	0.6081489479
6	0.5951040692
7	0.5804881205
8	0.569371504
9	0.5569643268
10	0.5448401526
11	0.5328432633
12	0.5222447821
13	0.512309756
14	0.5023318196
15	0.4922728061
16	0.4830638576
17	0.4734139904
18	0.4635482065
19	0.4532682834
20	0.4440149385
21	0.4354204158
22	0.4266086023
23	0.4180245965
24	0.4108673107
25	0.4032953031
26	0.3958515256
27	0.389081652
28	0.3820742431
29	0.374998821
30	0.3678176204
31	0.3605120359
32	0.3537029234
33	0.3482337143
34	0.3410441885
35	0.3348733532
36	0.3282818652
37	0.3225535413
38	0.317056916
39	0.311430928
40	0.3074087828
41	0.302313929
42	0.2974641013
43	0.2921853505
44	0.2871896109
45	0.2828219374
46	0.2781434091
47	0.272683284
48	0.2680072769
49	0.2643124067
50	0.2606496847
51	0.2565305238
52	0.2521055513
53	0.2476404626
54	0.2441220051
55	0.2401717283
56	0.2373376128
57	0.2337636035
58	0.2301870328
59	0.2274140533
60	0.2231332674
61	0.2191642169
62	0.2159122169
63	0.2136181805
64	0.2105446477
65	0.207445229
66	0.2051021704
67	0.2026755802
68	0.2001922012
69	0.1971765904
70	0.1943556081
71	0.1917004342
72	0.1891630666
73	0.1860116912
74	0.1839016829
75	0.1817055217
76	0.1797632002
77	0.1778119358
78	0.1758989486
79	0.1737513648
80	0.1715731698
81	0.1698334077
82	0.1676673863
83	0.1657514285
84	0.1635970498
85	0.1611698336
86	0.1591384928
87	0.1574392324
88	0.1553347783
89	0.1535043184
90	0.1521927992
91	0.1505643546
92	0.1489215471
93	0.1473484771
94	0.1459524805
95	0.1444233638
96	0.142735429
97	0.1409707302
98	0.1395971506
99	0.1383555952
100	0.1369659934
101	0.1355926266
102	0.1341422548
103	0.1327119161
104	0.1313038596
105	0.1300646979
106	0.1284847989
107	0.1270666862
108	0.1257991224
109	0.1246222953
110	0.1235523066
111	0.12271376
112	0.1216746499
113	0.1205419186
114	0.1194316229
115	0.1185868565
116	0.1174178105
117	0.1164861912
118	0.115211056
119	0.1142680779
120	0.1133485937
121	0.1124301862
122	0.1115872221
123	0.1106686124
124	0.1098929279
125	0.1090495576
126	0.1080594184
127	0.1070099632
128	0.1063286188
129	0.105693761
130	0.1049439041
131	0.1039573094
132	0.1031335543
133	0.102248543
134	0.1014099721
135	0.1007013455
136	0.09991439097
137	0.09892912025
138	0.09810847574
139	0.09727283414
140	0.09655474582
141	0.09583859744
142	0.09518320338
143	0.09447749059
144	0.09367588285
145	0.09278677549
146	0.0921761338
147	0.09158043541
148	0.09090091712
149	0.09024963151
150	0.08969531556
151	0.08879401265
152	0.08834170002
153	0.08790581345
154	0.08710279485
155	0.08655356895
156	0.08596084382
157	0.08524909764
158	0.08459449383
159	0.08393536421
160	0.08326705883
161	0.08267102893
162	0.08216124036
163	0.08161568642
164	0.0811389258
165	0.08057149217
166	0.0801539328
167	0.07974366407
168	0.0793269265
169	0.0789214458
170	0.07849851761
171	0.07796932922
172	0.07744772419
173	0.07712420517
174	0.0766968484
175	0.07620268065
176	0.07572086049
177	0.07529257797
178	0.07492249286
179	0.07446282391
180	0.07409552328
181	0.0736047301
182	0.07320585478
183	0.07285137083
184	0.07250030853
185	0.07204231316
186	0.07167314552
187	0.07124583271
188	0.0706827144
189	0.07022494246
190	0.06986216764
191	0.06941180581
192	0.0691339199
193	0.06871045748
194	0.06837549592
195	0.06796083999
196	0.06745357627
197	0.06720833871
198	0.06686264264
199	0.06653697579
200	0.06619890238
201	0.06571476475
202	0.06544395538
203	0.06510201142
204	0.06478876302
205	0.06449171519
206	0.06414748014
207	0.06375387434
208	0.06351619894
209	0.06322563289
210	0.06305286527
211	0.06283208967
212	0.06256524808
213	0.06222228425
214	0.06188089522
215	0.06153621281
216	0.06118505844
217	0.06088694057
218	0.06060456092
219	0.06026171242
220	0.06001629592
221	0.05977507113
222	0.05950349479
223	0.05911129467
224	0.05883300847
225	0.05856492618
226	0.05826879013
227	0.05802748829
228	0.05771148334
229	0.05743939447
230	0.0571786985
231	0.05689577219
232	0.05663724577
233	0.05641729713
234	0.05623106481
235	0.05600952481
236	0.05578128376
237	0.05556952514
238	0.05537418016
239	0.0551080471
240	0.05482726397
241	0.05452570584
242	0.05425912543
243	0.05407227922
244	0.05383139732
245	0.05368966032
246	0.05343742226
247	0.0532313262
248	0.05302967012
249	0.05285338466
250	0.05258588884
251	0.05246651612
252	0.05231859369
253	0.05215204305
254	0.05186148579
255	0.05166145312
256	0.05142923808
257	0.05115846336
258	0.05088373379
259	0.05072010158
260	0.05044596211
261	0.05027312312
262	0.05007390552
263	0.04988730135
264	0.0496326972
265	0.04948325116
266	0.04920900514
267	0.04910630052
268	0.04890788196
269	0.04874801325
270	0.04857701542
271	0.04835544646
272	0.04818408712
273	0.04801415828
274	0.04782892825
275	0.04765218664
276	0.04751393697
277	0.04729394127
278	0.0471172943
279	0.04697458036
280	0.04682865319
281	0.04666253388
282	0.04642425752
283	0.04619461026
284	0.0459969985
285	0.04582789094
286	0.04560067235
287	0.04545324071
288	0.04526765848
289	0.04512811638
290	0.04494797796
291	0.04480035393
292	0.0446761094
293	0.044439096
294	0.04431385073
295	0.0441593917
296	0.04401454595
297	0.0438693692
298	0.04366068002
299	0.04353254271
300	0.04337814418
301	0.04323478479
302	0.04305058239
303	0.04296019176
304	0.0427936737
305	0.04263252602
306	0.04252113386
307	0.04235276121
308	0.04220143575
309	0.0420420868
310	0.04188424026
311	0.04172003243
312	0.04149322189
313	0.04133312563
314	0.04121604193
315	0.04107384878
316	0.04085387894
317	0.04069476893
318	0.04053563875
319	0.04040158648
320	0.040292217
321	0.04018247671
322	0.04005454109
323	0.03989560071
324	0.03982010684
325	0.0396475311
326	0.03949893374
327	0.03933003099
328	0.03920491709
329	0.03909585791
330	0.03896997084
331	0.03879541016
332	0.03861176269
333	0.03851780198
334	0.03840188659
335	0.03829994274
336	0.03816647954
337	0.03804370379
338	0.03792849435
339	0.03778065932
340	0.03771747788
341	0.03759243587
342	0.03742668375
343	0.03731346699
344	0.03721263972
345	0.03707503807
346	0.0369349069
347	0.03678945037
348	0.03670301199
349	0.03661919312
350	0.03652525052
351	0.03644996869
352	0.0363136517
353	0.03618685542
354	0.03610829573
355	0.03603841064
356	0.03586622639
357	0.03578083531
358	0.03566561707
359	0.03556830764
360	0.03545718545
361	0.03537361793
362	0.03527899109
363	0.03516299554
364	0.03511228996
365	0.03499747667
366	0.03485222183
367	0.03476423245
368	0.03466380599
369	0.03453478224
370	0.03442442081
371	0.03434652206
372	0.03421044091
373	0.03414225527
374	0.03401577809
375	0.03390549372
376	0.0338198156
377	0.0337199839
378	0.03353041217
379	0.0334007678
380	0.03331705805
381	0.03324404973
382	0.03315115596
383	0.03304585976
384	0.03292177194
385	0.03283389116
386	0.03273514605
387	0.0326185966
388	0.03253393939
389	0.03243695009
390	0.03235516838
391	0.03226006057
392	0.03220671273
393	0.0321744533
394	0.03210520693
395	0.0320113962
396	0.03195132299
397	0.03187032015
398	0.03174232195
399	0.03165665107
400	0.03154326985
401	0.0314757343
402	0.03139398879
403	0.0313051983
404	0.03122201917
405	0.03111457618
406	0.03101908411
407	0.03092276662
408	0.03084408228
409	0.0307478553
410	0.03066898323
411	0.03062116246
412	0.0305457953
413	0.03047205517
414	0.03041368917
415	0.03036929677
416	0.03028875473
417	0.03020101359
418	0.03010203937
419	0.03001599819
420	0.02990365959
421	0.02983338869
422	0.02971685579
423	0.02961019994
424	0.02953003441
425	0.02942244246
426	0.02931216275
427	0.02919847691
428	0.02914390078
429	0.02905464845
430	0.02901572829
431	0.02896737535
432	0.0288627789
433	0.02876878095
434	0.02862578152
435	0.02851398441
436	0.02844822846
437	0.02835728083
438	0.02828003786
439	0.0282223747
440	0.02815686389
441	0.0280902634
442	0.0280267882
443	0.02791356834
444	0.02787208867
445	0.02783778226
446	0.02778171303
447	0.02774852062
448	0.02767738344
449	0.02764055165
450	0.02760304443
451	0.02755072112
452	0.02750231749
453	0.02745230027
454	0.02738662397
455	0.02732307378
456	0.02726595624
457	0.02718034484
458	0.02711240588
459	0.02708506067
460	0.02698599025
461	0.0269056225
462	0.02681811461
463	0.02676040335
464	0.02668206914
465	0.02657774782
466	0.02651661647
467	0.02644124465
468	0.02638074943
469	0.02629511941
470	0.02622200248
471	0.02618996699
472	0.02612679641
473	0.02607007089
474	0.02598500976
475	0.02595618955
476	0.02588197776
477	0.02582142151
478	0.0257842427
479	0.02570671994
480	0.02567191755
481	0.02557702851
482	0.02553896221
483	0.02547952358
484	0.02541267277
485	0.02533694358
486	0.02528884251
487	0.02525410321
488	0.02520443716
489	0.02513498029
490	0.02506391294
491	0.02499152678
492	0.02494199674
493	0.02486248699
494	0.02482916735
495	0.02477257267
496	0.02472478449
497	0.02466356211
498	0.02462104913
499	0.02456843775
500	0.02451704174
501	0.02446903427
502	0.02441442866
503	0.02437709573
504	0.02432529632
505	0.02426510416
506	0.02421021306
507	0.02418061709
508	0.02409531496
509	0.02404561425
510	0.02400023715
511	0.02394533468
512	0.02389152345
513	0.02384965177
514	0.02379339326
515	0.02369002613
516	0.02364597093
517	0.0235848613
518	0.0235459789
519	0.0234700687
520	0.02338980387
521	0.0233309181
522	0.02328583062
523	0.02322217648
524	0.0231695382
525	0.02311692269
526	0.02305900404
527	0.02298094238
528	0.02293394238
529	0.02289487483
530	0.0228302215
531	0.02278790091
532	0.02272704263
533	0.02266072193
534	0.02262814702
535	0.02259634477
536	0.02255373353
537	0.02249917446
538	0.02244209054
539	0.02239006874
540	0.02235272443
541	0.02231955063
542	0.02227961009
543	0.02223767738
544	0.02216940588
545	0.02214064774
546	0.02208857836
547	0.02203433788
548	0.02199564166
549	0.02193860325
550	0.02189380331
551	0.02185421859
552	0.02178625533
553	0.0217330854
554	0.02169542457
555	0.02166681848
556	0.02161562934
557	0.02159848389
558	0.02153148568
559	0.02148023345
560	0.02144187236
561	0.02140178494
562	0.02137516688
563	0.02131794642
564	0.0212693504
565	0.02123110206
566	0.02119699114
567	0.02115068518
568	0.02107721399
569	0.02101417322
570	0.02098203067
571	0.02094007418
572	0.02088846819
573	0.02084309212
574	0.0208143919
575	0.02078788761
576	0.02075784998
577	0.02070171145
578	0.02067254577
579	0.02062249546
580	0.02057571473
581	0.02051563118
582	0.02047294443
583	0.02044276819
584	0.02041510956
585	0.02038175372
586	0.02032884962
587	0.02027796665
588	0.02024479388
589	0.02020746819
590	0.0201411361
591	0.02009959645
592	0.02004290661
593	0.01997664694
594	0.01994924897
595	0.01991293798
596	0.01985027268
597	0.01978916822
598	0.01972739143
599	0.0196736433
600	0.01964812062
601	0.0196039206
602	0.01953216747
603	0.01947240664
604	0.01941749072
605	0.01936218795
606	0.01931648916
607	0.01929886274
608	0.01926156083
609	0.0192153097
610	0.01916313585
611	0.01913744871
612	0.01909371208
613	0.0190541046
614	0.01902338119
615	0.01899223369
616	0.01894745858
617	0.018918567
618	0.01887867714
619	0.01883175782
620	0.01879536718
621	0.01874917603
622	0.01871273885
623	0.01864802449
624	0.01862736017
625	0.01859521762
626	0.01856425527
627	0.01851020614
628	0.01845986104
629	0.01840746584
630	0.01837409137
631	0.01832336149
632	0.01828663054
633	0.01826832662
634	0.01822778925
635	0.01820191903
636	0.01818315171
637	0.01815195456
638	0.01810883648
639	0.01805664816
640	0.01801364489
